mapping_id	cohort_id	annotation_field	original_label	harmonized_coarse	harmonized_mid	harmonized_fine	coarse_ontology_id	mid_ontology_id	fine_ontology_id	mapping_confidence	mapping_status	mapping_resolution_status	shadow_candidate_level	shadow_candidate_label	shadow_candidate_ontology_id	n_shadow_observations	mapping_source	source_sha256
canonical__4fd50f2dbbb5404c86ac	GSE123813_bcc	celltype_raw	Melanocytes	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__0aa6e4fdbfb97b2ce9f9	GSE123813_bcc	celltype_raw	Myofibroblasts	CAF_Stromal	CAF	Unknown	identity::coarse::CAF_Stromal	identity::mid::CAF	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__6138206af2f772ee5aa3	GSE123813_bcc	celltype_raw	NK_cells	T_NK	NK	Unknown	identity::coarse::T_NK	identity::mid::NK	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__1a300147ddbaa8c757e0	GSE123813_bcc	celltype_raw	Plasma_cells	B_Plasma	Plasma_cell	Unknown	identity::coarse::B_Plasma	identity::mid::Plasma_cell	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__2c205f21a6c1dd6cd503	GSE123813_bcc	celltype_raw	Tcell_prolif	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__d545202c049ea740b4da	GSE123813_bcc	celltype_raw	Tregs	T_NK	Treg	Unknown	identity::coarse::T_NK	identity::mid::Treg	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__c66df2b641d722755c18	GSE123813_bcc	celltype_raw	Tumor_1	Tumor_like	Tumor_epithelial_like	Unknown	identity::coarse::Tumor_like	identity::mid::Tumor_epithelial_like	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__e5c4221ece109b8abc5c	GSE123813_bcc	celltype_raw	Tumor_2	Tumor_like	Tumor_epithelial_like	Unknown	identity::coarse::Tumor_like	identity::mid::Tumor_epithelial_like	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__3ee42dff59e22abc7d48	GSE123813_bcc	celltype_raw	pDCs	DC_APC	pDC	Unknown	identity::coarse::DC_APC	identity::mid::pDC	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__217bb30e77bdeabf710e	GSE123813_bcc	cluster	B_cells_1	B_Plasma	B_cell	Unknown	identity::coarse::B_Plasma	identity::mid::B_cell	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__e504a6c0ea6977f3fe64	GSE123813_bcc	cluster	B_cells_2	B_Plasma	B_cell	Unknown	identity::coarse::B_Plasma	identity::mid::B_cell	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__28f96399dd06cebfe189	GSE123813_bcc	cluster	CAFs	CAF_Stromal	CAF	Unknown	identity::coarse::CAF_Stromal	identity::mid::CAF	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__9ddeb613ada76241c2a6	GSE123813_bcc	cluster	CD4_T_cells	T_NK	CD4_T	Unknown	identity::coarse::T_NK	identity::mid::CD4_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__374714b80344aaf7f239	GSE123813_bcc	cluster	CD8_act_T_cells	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__6a12a6b8fe15d10b3ebd	GSE123813_bcc	cluster	CD8_ex_T_cells	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__aa2b9ed000e46404a1cc	GSE123813_bcc	cluster	CD8_mem_T_cells	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__b6577ef0b3f94e400df8	GSE123813_bcc	cluster	DCs	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__26c8b521499c638eec4c	GSE123813_bcc	cluster	Endothelial	Endothelial	Endothelial	Unknown	identity::coarse::Endothelial	identity::mid::Endothelial	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__af4d45c278a3bd167c1d	GSE123813_bcc	cluster	Macrophages	Myeloid	Macrophage	Unknown	identity::coarse::Myeloid	identity::mid::Macrophage	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__7c2c5566b3701898d4b3	GSE123813_bcc	cluster	Melanocytes	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__d0dbf4b5af81dfb3142e	GSE123813_bcc	cluster	Myofibroblasts	CAF_Stromal	CAF	Unknown	identity::coarse::CAF_Stromal	identity::mid::CAF	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__a8f86cc5357a624b046a	GSE123813_bcc	cluster	NK_cells	T_NK	NK	Unknown	identity::coarse::T_NK	identity::mid::NK	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__23d2e9335d2ff5ce5a9d	GSE123813_bcc	cluster	Plasma_cells	B_Plasma	Plasma_cell	Unknown	identity::coarse::B_Plasma	identity::mid::Plasma_cell	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__eec7138edd25e33ae160	GSE123813_bcc	cluster	Tcell_prolif	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__be0c66aa0ec437dfcd7f	GSE123813_bcc	cluster	Tregs	T_NK	Treg	Unknown	identity::coarse::T_NK	identity::mid::Treg	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__12a4f0eb95a2a8f519fd	GSE123813_bcc	cluster	Tumor_1	Tumor_like	Tumor_epithelial_like	Unknown	identity::coarse::Tumor_like	identity::mid::Tumor_epithelial_like	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__47b8c6c375416e52137d	GSE123813_bcc	cluster	Tumor_2	Tumor_like	Tumor_epithelial_like	Unknown	identity::coarse::Tumor_like	identity::mid::Tumor_epithelial_like	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__1b65cc33d0e4a966c710	GSE123813_bcc	cluster	pDCs	DC_APC	pDC	Unknown	identity::coarse::DC_APC	identity::mid::pDC	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__3d3bd32e0f5dec9213c5	GSE123813_scc	celltype_raw	CD8_act	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__23470a70a7c762d4cf32	GSE123813_scc	celltype_raw	CD8_eff	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__d2effc15b065fd5ddf37	GSE123813_scc	celltype_raw	CD8_ex	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__ee75b0c66e3e3daf84aa	GSE123813_scc	celltype_raw	CD8_ex_act	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__f59c61ec2c6223d6f139	GSE123813_scc	celltype_raw	CD8_mem	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__39be12604d9ba091165d	GSE123813_scc	celltype_raw	CD8_naive	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__bf694eb028ef914479f9	GSE123813_scc	celltype_raw	Naive	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__ef990233b9af521e51e2	GSE123813_scc	celltype_raw	Tfh	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__f0f005d8b6ed7af4b5fc	GSE123813_scc	celltype_raw	Th17	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__3dd01eb98df16f659363	GSE123813_scc	celltype_raw	Treg	T_NK	Treg	Unknown	identity::coarse::T_NK	identity::mid::Treg	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__cce2cd433a774ba9811e	GSE123813_scc	cluster	CD8_act	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__ba209a31003824065ea6	GSE123813_scc	cluster	CD8_eff	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__92de37ac494c9e41fec7	GSE123813_scc	cluster	CD8_ex	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__f76a6ff6a413766701e4	GSE123813_scc	cluster	CD8_ex_act	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__44e576a75974ae3b4370	GSE123813_scc	cluster	CD8_mem	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__fc5177edd1a42dff8369	GSE123813_scc	cluster	CD8_naive	T_NK	CD8_T	Unknown	identity::coarse::T_NK	identity::mid::CD8_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__f05c5b7416f1d167cd38	GSE123813_scc	cluster	Naive	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__f545212ae59305c71662	GSE123813_scc	cluster	Tfh	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__19b1435b29e983e033c4	GSE123813_scc	cluster	Th17	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__bebb312fb0db79540c02	GSE123813_scc	cluster	Treg	T_NK	Treg	Unknown	identity::coarse::T_NK	identity::mid::Treg	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__90a4fdc1acfc8777a288	GSE140228_droplet	celltype_global	ILCs	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__a8b2a88d664408342d94	GSE140228_droplet	celltype_global	Lymphoid-B	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__5b607df6e5c5a40e3b32	GSE140228_droplet	celltype_global	Lymphoid-B-Plasma	B_Plasma	Plasma_cell	Unknown	identity::coarse::B_Plasma	identity::mid::Plasma_cell	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__f778d7569bc568cbf77c	GSE140228_droplet	celltype_global	Lymphoid-NK	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__89e0425a8b45accdadec	GSE140228_droplet	celltype_global	Lymphoid-T	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__8257ba6fde2a3f455cb7	GSE140228_droplet	celltype_global	Lymphoid-T-NK-Cycling	T_NK	NK	Unknown	identity::coarse::T_NK	identity::mid::NK	annotation_status::fine::Unknown	medium	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__d4e1a32e3d2da8dded91	GSE140228_droplet	celltype_global	Myeloid	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__a97710fb2e1593f0da87	GSE140228_droplet	celltype_global	Myeloid-Liver-doublets	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__e22d5a6038888b288fec	GSE140228_droplet	celltype_global	Myeloid-Mast	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__829bade9ea19804dba2d	GSE140228_droplet	celltype_raw	ILCs	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__6ac9f835b647689b02bd	GSE140228_droplet	celltype_raw	Lymphoid-B	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__f4e0eb45878ce686e1d5	GSE140228_droplet	celltype_raw	Lymphoid-B-Plasma	B_Plasma	Plasma_cell	Unknown	identity::coarse::B_Plasma	identity::mid::Plasma_cell	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__7a6943128afda6327214	GSE140228_droplet	celltype_raw	Lymphoid-NK	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__2bad44a8c8775f65bbb3	GSE140228_droplet	celltype_raw	Lymphoid-T	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__801d563e1416f8e4df1c	GSE140228_droplet	celltype_raw	Lymphoid-T-NK-Cycling	T_NK	NK	Unknown	identity::coarse::T_NK	identity::mid::NK	annotation_status::fine::Unknown	medium	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__2bc5d8a54b03464c5e34	GSE140228_droplet	celltype_raw	Myeloid	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__9b8c90f9ab5cd056148a	GSE140228_droplet	celltype_raw	Myeloid-Liver-doublets	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__f834c6718d4567776516	GSE140228_droplet	celltype_raw	Myeloid-Mast	Unknown	Unknown	Unknown	annotation_status::coarse::Unknown	annotation_status::mid::Unknown	annotation_status::fine::Unknown	low	canonical	unknown				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__6d6456ef87dcf273770d	GSE140228_droplet	celltype_sub	CD4-C3-ANXA1	T_NK	CD4_T	Unknown	identity::coarse::T_NK	identity::mid::CD4_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__918c74ca765201a56f82	GSE140228_droplet	celltype_sub	CD4-C4-IL7R	T_NK	CD4_T	Unknown	identity::coarse::T_NK	identity::mid::CD4_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__7ded3a88d191fe58cc30	GSE140228_droplet	celltype_sub	CD4-C5-TCF7	T_NK	CD4_T	Unknown	identity::coarse::T_NK	identity::mid::CD4_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__90c00dfda5a694479f92	GSE140228_droplet	celltype_sub	CD4-C6-CXCL13	T_NK	CD4_T	Unknown	identity::coarse::T_NK	identity::mid::CD4_T	annotation_status::fine::Unknown	high	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
canonical__f453dbd6e55eba4345a4	GSE140228_droplet	celltype_sub	CD4-C7-FOXP3	T_NK	CD4_T	Unknown	identity::coarse::T_NK	identity::mid::CD4_T	annotation_status::fine::Unknown	medium	canonical	resolved				0	v6_original_to_harmonized_label_map	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd
